User set pedestal.
105
0.000000 11.000000 25.000000
0.009615 10.999092 24.993762
0.019231 10.996386 24.975211
0.028846 10.991913 24.944586
0.038462 10.985702 24.902130
0.048077 10.977781 24.848084
0.057692 10.968181 24.782690
0.067308 10.956929 24.706189
0.076923 10.944056 24.618822
0.086538 10.929591 24.520831
0.096154 10.913564 24.412458
0.105769 10.896002 24.293943
0.115385 10.876937 24.165529
0.125000 10.856396 24.027456
0.134615 10.834409 23.879967
0.144231 10.811006 23.723302
0.153846 10.786216 23.557704
0.163462 10.760067 23.383413
0.173077 10.732590 23.200671
0.182692 10.703813 23.009720
0.192308 10.673766 22.810801
0.201923 10.642479 22.604155
0.211538 10.609979 22.390024
0.221154 10.576297 22.168649
0.230769 10.541462 21.940272
0.240385 10.505503 21.705134
0.250000 10.468450 21.463477
0.259615 10.430331 21.215543
0.269231 10.391176 20.961571
0.278846 10.351015 20.701805
0.288462 10.309875 20.436485
0.298077 10.267788 20.165854
0.307692 10.224782 19.890151
0.317308 10.180885 19.609620
0.326923 10.136129 19.324501
0.336538 10.090541 19.035036
0.346154 10.044151 18.741466
0.355769  9.996989 18.444032
0.365385  9.949083 18.142977
0.375000  9.900463 17.838542
0.384615  9.851158 17.530967
0.394231  9.801198 17.220495
0.403846  9.750611 16.907367
0.413462  9.699427 16.591825
0.423077  9.647676 16.274109
0.432692  9.595386 15.954462
0.442308  9.542586 15.633125
0.451923  9.489307 15.310338
0.461538  9.435577 14.986345
0.471154  9.381426 14.661386
0.480769  9.326882 14.335702
0.490385  9.271975 14.009536
0.500000  9.216735 13.683128
0.509615  9.161191 13.356720
0.519231  9.105371 13.030553
0.528846  9.049305 12.704869
0.538462  8.993023 12.379910
0.548077  8.936554 12.055917
0.557692  8.879926 11.733131
0.567308  8.823170 11.411793
0.576923  8.766314 11.092146
0.586538  8.709388 10.774430
0.596154  8.652421 10.458888
0.605769  8.595443 10.145760
0.615385  8.538482  9.835288
0.625000  8.481567  9.527713
0.634615  8.424729  9.223278
0.644231  8.367996  8.922223
0.653846  8.311398  8.624790
0.663462  8.254964  8.331219
0.673077  8.198722  8.041754
0.682692  8.142704  7.756635
0.692308  8.086937  7.476104
0.701923  8.031451  7.200401
0.711538  7.976275  6.929770
0.721154  7.921439  6.664450
0.730769  7.866971  6.404684
0.740385  7.812901  6.150713
0.750000  7.759259  5.902778
0.759615  7.706074  5.661121
0.769231  7.653374  5.425983
0.778846  7.601189  5.197606
0.788462  7.549549  4.976231
0.798077  7.498482  4.762100
0.807692  7.448018  4.555454
0.817308  7.398187  4.356535
0.826923  7.349017  4.165584
0.836538  7.300537  3.982842
0.846154  7.252778  3.808551
0.855769  7.205767  3.642953
0.865385  7.159536  3.486288
0.875000  7.114112  3.338799
0.884615  7.069525  3.200726
0.894231  7.025804  3.072312
0.903846  6.974779  2.947446
0.913462  6.845944  2.771246
0.923077  6.636171  2.540104
0.932692  6.361757  2.265369
0.942308  6.039002  1.958392
0.951923  5.684204  1.630521
0.961538  5.313660  1.293107
0.971154  4.943670  0.957498
0.980769  4.590531  0.635044
0.990385  4.270541  0.337095
1.000000  4.000000  0.075000
