User set pedestal.
105
0.000000 5.000000 3.000000
0.009615 4.999546 2.999433
0.019231 4.998193 2.997746
0.028846 4.995957 2.994962
0.038462 4.992851 2.991103
0.048077 4.988891 2.986189
0.057692 4.984090 2.980245
0.067308 4.978465 2.973290
0.076923 4.972028 2.965347
0.086538 4.964796 2.956439
0.096154 4.956782 2.946587
0.105769 4.948001 2.935813
0.115385 4.938468 2.924139
0.125000 4.928198 2.911587
0.134615 4.917205 2.898179
0.144231 4.905503 2.883937
0.153846 4.893108 2.868882
0.163462 4.880034 2.853038
0.173077 4.866295 2.836425
0.182692 4.851907 2.819065
0.192308 4.836883 2.800982
0.201923 4.821239 2.782196
0.211538 4.804990 2.762729
0.221154 4.788149 2.742604
0.230769 4.770731 2.721843
0.240385 4.752752 2.700467
0.250000 4.734225 2.678498
0.259615 4.715166 2.655958
0.269231 4.695588 2.632870
0.278846 4.675507 2.609255
0.288462 4.654938 2.585135
0.298077 4.633894 2.560532
0.307692 4.612391 2.535468
0.317308 4.590443 2.509965
0.326923 4.568064 2.484046
0.336538 4.545270 2.457731
0.346154 4.522076 2.431042
0.355769 4.498494 2.404003
0.365385 4.474541 2.376634
0.375000 4.450231 2.348958
0.384615 4.425579 2.320997
0.394231 4.400599 2.292772
0.403846 4.375306 2.264306
0.413462 4.349714 2.235620
0.423077 4.323838 2.206737
0.432692 4.297693 2.177678
0.442308 4.271293 2.148466
0.451923 4.244654 2.119122
0.461538 4.217789 2.089668
0.471154 4.190713 2.060126
0.480769 4.163441 2.030518
0.490385 4.135988 2.000867
0.500000 4.108368 1.971193
0.509615 4.080595 1.941520
0.519231 4.052685 1.911868
0.528846 4.024653 1.882261
0.538462 3.996512 1.852719
0.548077 3.968277 1.823265
0.557692 3.939963 1.793921
0.567308 3.911585 1.764708
0.576923 3.883157 1.735650
0.586538 3.854694 1.706766
0.596154 3.826211 1.678081
0.605769 3.797721 1.649615
0.615385 3.769241 1.621390
0.625000 3.740784 1.593428
0.634615 3.712365 1.565753
0.644231 3.683998 1.538384
0.653846 3.655699 1.511345
0.663462 3.627482 1.484656
0.673077 3.599361 1.458341
0.682692 3.571352 1.432421
0.692308 3.543468 1.406919
0.701923 3.515725 1.381855
0.711538 3.488137 1.357252
0.721154 3.460719 1.333132
0.730769 3.433485 1.309517
0.740385 3.406451 1.286428
0.750000 3.379630 1.263889
0.759615 3.353037 1.241920
0.769231 3.326687 1.220544
0.778846 3.300595 1.199782
0.788462 3.274774 1.179657
0.798077 3.249241 1.160191
0.807692 3.224009 1.141405
0.817308 3.199093 1.123321
0.826923 3.174508 1.105962
0.836538 3.150269 1.089349
0.846154 3.126389 1.073505
0.855769 3.102884 1.058450
0.865385 3.079768 1.044208
0.875000 3.057056 1.030800
0.884615 3.034762 1.018248
0.894231 3.012902 1.006574
0.903846 2.984844 0.995605
0.913462 2.893089 0.982230
0.923077 2.734107 0.962195
0.932692 2.520047 0.931440
0.942308 2.263058 0.885907
0.951923 1.975289 0.821535
0.961538 1.668892 0.734264
0.971154 1.356015 0.620035
0.980769 1.048807 0.474788
0.990385 0.759419 0.294463
1.000000 0.500000 0.075000
