              11            188
 t              rho            R              Z              s              
   7.1140909E-01  7.0131814E-01  6.9122726E-01  6.8113637E-01  6.7104542E-01
   6.6095454E-01  6.5086365E-01  6.4077270E-01  6.3068181E-01  6.2059093E-01
   6.1049998E-01  6.0040909E-01  5.9031820E-01  5.8022726E-01  5.7013631E-01
   5.6004548E-01  5.4995453E-01  5.3986359E-01  5.2977276E-01  5.1968181E-01
   5.0959086E-01  4.9949998E-01  4.8940909E-01  4.7931817E-01  4.6922725E-01
   4.5913637E-01  4.4904545E-01  4.3895453E-01  4.2886364E-01  4.1877270E-01
   4.0868181E-01  3.9859092E-01  3.8849998E-01  3.7840909E-01  3.6831820E-01
   3.5822725E-01  3.4813637E-01  3.3804545E-01  3.2795453E-01  3.1786364E-01
   3.0777273E-01  2.9768181E-01  2.8759092E-01  2.7749997E-01  2.6740909E-01
   2.5731820E-01  2.4722727E-01  2.3713636E-01  2.2704545E-01  2.1695454E-01
   2.0686364E-01  1.9677272E-01  1.8668181E-01  1.7659090E-01  1.6650000E-01
   1.5640908E-01  1.4631818E-01  1.3622728E-01  1.2613636E-01  1.1604545E-01
   1.0595454E-01  9.5863640E-02  8.5772723E-02  7.5681821E-02  6.5590903E-02
   5.5500001E-02  5.5500001E-02  6.5590903E-02  7.5681821E-02  8.5772723E-02
   9.5863640E-02  1.0595454E-01  1.1604545E-01  1.2613636E-01  1.3622728E-01
   1.4631818E-01  1.5640908E-01  1.6650000E-01  1.7659090E-01  1.8668181E-01
   1.9677272E-01  2.0686364E-01  2.1695454E-01  2.2704545E-01  2.3713636E-01
   2.4722727E-01  2.5731820E-01  2.6740909E-01  2.7749997E-01  2.8759092E-01
   2.9768181E-01  3.0777273E-01  3.1786364E-01  3.2795453E-01  3.3804545E-01
   3.4813637E-01  3.5822725E-01  3.6831820E-01  3.7840909E-01  3.8849998E-01
   3.9859092E-01  4.0868181E-01  4.1877270E-01  4.2886364E-01  4.3895453E-01
   4.4904545E-01  4.5913637E-01  4.6922725E-01  4.7931817E-01  4.8940909E-01
   4.9949998E-01  5.0959086E-01  5.1968181E-01  5.2977276E-01  5.3986359E-01
   5.4995453E-01  5.6004548E-01  5.7013631E-01  5.8022726E-01  5.9031820E-01
   6.0040909E-01  6.1049998E-01  6.2059093E-01  6.3068181E-01  6.4077270E-01
   6.5086365E-01  6.6095454E-01  6.7104542E-01  6.8113637E-01  6.9122726E-01
   7.0131814E-01  7.1140909E-01  7.2150004E-01  7.3159087E-01  7.4168181E-01
   7.5177276E-01  7.6186359E-01  7.7195454E-01  7.8204548E-01  7.9213631E-01
   8.0222726E-01  8.1231821E-01  8.2240903E-01  8.3249998E-01  8.4259093E-01
   8.5268182E-01  8.6277270E-01  8.7286365E-01  8.8295454E-01  8.9304543E-01
   9.0313637E-01  9.1322726E-01  9.1411483E-01  0.0000000E+00  0.0000000E+00
   1.0500000E+00  1.1012694E+00  1.1024170E+00  1.1035645E+00  1.1047120E+00
   1.1058596E+00  1.1070073E+00  1.1112535E+00  1.1183308E+00  1.1253909E+00
   1.1324369E+00  1.1394693E+00  1.1464883E+00  1.1534936E+00  1.1604857E+00
   1.1674643E+00  1.1744291E+00  1.1813807E+00  1.1883186E+00  1.1952430E+00
   1.2021539E+00  1.2090515E+00  1.2159353E+00  1.2228057E+00  1.2296627E+00
   1.2365057E+00  1.2433355E+00  1.2501515E+00  1.2569541E+00  1.2637432E+00
   1.2705185E+00  1.2772802E+00  1.2840286E+00  1.2907633E+00  1.2974844E+00
   1.3041921E+00  1.3108859E+00  1.3175664E+00  1.3242329E+00  1.3308862E+00
   1.3375261E+00  1.3441522E+00  1.3507648E+00  1.3573641E+00  1.3639498E+00
   1.3705219E+00  1.3770808E+00  1.3836260E+00  1.3901578E+00  1.3966761E+00
   1.4031811E+00  1.4096729E+00  1.4161510E+00  1.4226160E+00  1.4290680E+00
   1.4355067E+00  1.4419320E+00  1.4483443E+00  1.4547436E+00  1.4611300E+00
   1.4675034E+00  1.4738641E+00  1.4802117E+00  1.4865468E+00  1.4928694E+00
   1.4991797E+00  1.5054774E+00  1.5117632E+00  1.5180368E+00  1.5242987E+00
   1.5305490E+00  1.5367880E+00  1.5430156E+00  1.5492322E+00  1.5554385E+00
   1.5616348E+00  1.5678208E+00  1.5739980E+00  1.5801663E+00  1.5863264E+00
   1.5924795E+00  1.5986259E+00  1.6047666E+00  1.6109030E+00  1.6170366E+00
   1.6231692E+00  1.6293027E+00  1.6354401E+00  1.6415892E+00  1.6477478E+00
   1.6539229E+00  1.6601222E+00  1.6663549E+00  1.6726348E+00  1.6789802E+00
   1.6854191E+00  1.6919945E+00  1.6987789E+00  1.7059047E+00  1.7136593E+00
   1.7228627E+00  1.7565970E+00  1.7651553E+00  1.7728028E+00  1.7797562E+00
   1.7863076E+00  1.7926102E+00  1.7987437E+00  1.8047541E+00  1.8106701E+00
   1.8165107E+00  1.8222895E+00  1.8280158E+00  1.8336972E+00  1.8393388E+00
   1.8449656E+00  1.8505418E+00  1.8560861E+00  1.8616033E+00  1.8670952E+00
   1.8725638E+00  1.8780100E+00  1.8834350E+00  1.8888397E+00  1.8942246E+00
   1.8995907E+00  1.9049385E+00  1.9102683E+00  1.9155807E+00  1.9208763E+00
   1.9261549E+00  1.9314175E+00  1.9366636E+00  1.9418941E+00  1.9471087E+00
   1.9523083E+00  1.9574925E+00  1.9626619E+00  1.9678164E+00  1.9729562E+00
   1.9780812E+00  1.9831920E+00  1.9882885E+00  1.9933708E+00  1.9984391E+00
   2.0034935E+00  2.0085337E+00  2.0135605E+00  2.0185735E+00  2.0235734E+00
   2.0285592E+00  2.0335317E+00  2.0384908E+00  2.0434368E+00  2.0483694E+00
   2.0532894E+00  2.0581956E+00  2.0630891E+00  2.0679700E+00  2.0728376E+00
   2.0776927E+00  2.0825348E+00  2.0873647E+00  2.0921817E+00  2.0969858E+00
   2.1017778E+00  2.1065574E+00  2.1113243E+00  2.1160789E+00  2.1208210E+00
   2.1255512E+00  2.1302691E+00  2.1349750E+00  2.1396687E+00  2.1443505E+00
   2.1490200E+00  2.1536777E+00  2.1583233E+00  2.1629574E+00  2.1675797E+00
   2.1721900E+00  2.1767886E+00  2.1813755E+00  2.1859512E+00  2.1905146E+00
   2.1950674E+00  2.1996076E+00  2.2000000E+00  0.0000000E+00  0.0000000E+00
   2.0000000E-01  1.8216717E-01  1.8176800E-01  1.8136887E-01  1.8096972E-01
   1.8057054E-01  1.8017137E-01  1.7869444E-01  1.7623274E-01  1.7377709E-01
   1.7132629E-01  1.6888022E-01  1.6643885E-01  1.6400221E-01  1.6157015E-01
   1.5914287E-01  1.5672030E-01  1.5430234E-01  1.5188915E-01  1.4948067E-01
   1.4707687E-01  1.4467774E-01  1.4228334E-01  1.3989365E-01  1.3750866E-01
   1.3512842E-01  1.3275287E-01  1.3038206E-01  1.2801597E-01  1.2565456E-01
   1.2329789E-01  1.2094599E-01  1.1859871E-01  1.1625624E-01  1.1391845E-01
   1.1158539E-01  1.0925706E-01  1.0693344E-01  1.0461461E-01  1.0230044E-01
   9.9990912E-02  9.7686186E-02  9.5386140E-02  9.3090758E-02  9.0800069E-02
   8.8514112E-02  8.6232759E-02  8.3956189E-02  8.1684224E-02  7.9417013E-02
   7.7154420E-02  7.4896410E-02  7.2643101E-02  7.0394412E-02  6.8150267E-02
   6.5910727E-02  6.3675836E-02  6.1445430E-02  5.9219584E-02  5.6998253E-02
   5.4781422E-02  5.2569032E-02  5.0361127E-02  4.8157632E-02  4.5958459E-02
   4.3763578E-02  4.1573048E-02  3.9386719E-02  3.7204593E-02  3.5026535E-02
   3.2852501E-02  3.0682459E-02  2.8516307E-02  2.6354015E-02  2.4195269E-02
   2.2040099E-02  1.9888401E-02  1.7739862E-02  1.5594333E-02  1.3451681E-02
   1.1311516E-02  9.1736317E-03  7.0377141E-03  4.9032867E-03  2.7698576E-03
   6.3680112E-04 -1.4966130E-03 -3.6313236E-03 -5.7701617E-03 -7.9122484E-03
  -1.0060146E-02 -1.2216374E-02 -1.4384329E-02 -1.6568616E-02 -1.8775716E-02
  -2.1015346E-02 -2.3302436E-02 -2.5662228E-02 -2.8140798E-02 -3.0838028E-02
  -3.4039199E-02 -4.5772895E-02 -4.8749685E-02 -5.1409677E-02 -5.3828225E-02
  -5.6106940E-02 -5.8299169E-02 -6.0432598E-02 -6.2523171E-02 -6.4580902E-02
  -6.6612378E-02 -6.8622425E-02 -7.0614174E-02 -7.2590306E-02 -7.4552640E-02
  -7.6509759E-02 -7.8449324E-02 -8.0377772E-02 -8.2296804E-02 -8.4207043E-02
  -8.6109146E-02 -8.8003501E-02 -8.9890435E-02 -9.1770366E-02 -9.3643352E-02
  -9.5509812E-02 -9.7369865E-02 -9.9223748E-02 -1.0107155E-01 -1.0291345E-01
  -1.0474952E-01 -1.0657994E-01 -1.0840474E-01 -1.1022399E-01 -1.1203779E-01
  -1.1384635E-01 -1.1564954E-01 -1.1744760E-01 -1.1924045E-01 -1.2102820E-01
  -1.2281086E-01 -1.2458853E-01 -1.2636121E-01 -1.2812899E-01 -1.2989183E-01
  -1.3164993E-01 -1.3340299E-01 -1.3515149E-01 -1.3689514E-01 -1.3863419E-01
  -1.4036839E-01 -1.4209794E-01 -1.4382286E-01 -1.4554320E-01 -1.4725892E-01
  -1.4897020E-01 -1.5067677E-01 -1.5237881E-01 -1.5407653E-01 -1.5576957E-01
  -1.5745835E-01 -1.5914257E-01 -1.6082247E-01 -1.6249792E-01 -1.6416903E-01
  -1.6583575E-01 -1.6749819E-01 -1.6915624E-01 -1.7081000E-01 -1.7245950E-01
  -1.7410479E-01 -1.7574580E-01 -1.7738251E-01 -1.7901517E-01 -1.8064360E-01
  -1.8226780E-01 -1.8388788E-01 -1.8550377E-01 -1.8711559E-01 -1.8872334E-01
  -1.9032694E-01 -1.9192646E-01 -1.9352187E-01 -1.9511341E-01 -1.9670074E-01
  -1.9828428E-01 -1.9986348E-01 -2.0000000E-01  0.0000000E+00  0.0000000E+00
   0.0000000E+00  5.4282200E-02  5.5497270E-02  5.6712229E-02  5.7927206E-02
   5.9142273E-02  6.0357347E-02  6.4853057E-02  7.2346345E-02  7.9821207E-02
   8.7281302E-02  9.4727002E-02  1.0215842E-01  1.0957542E-01  1.1697851E-01
   1.2436704E-01  1.3174121E-01  1.3910136E-01  1.4644697E-01  1.5377825E-01
   1.6109532E-01  1.6839813E-01  1.7568660E-01  1.8296069E-01  1.9022048E-01
   1.9746578E-01  2.0469682E-01  2.1191345E-01  2.1911570E-01  2.2630371E-01
   2.3347731E-01  2.4063638E-01  2.4778138E-01  2.5491175E-01  2.6202783E-01
   2.6912957E-01  2.7621686E-01  2.8328985E-01  2.9034826E-01  2.9739249E-01
   3.0442256E-01  3.1143802E-01  3.1843925E-01  3.2542628E-01  3.3239901E-01
   3.3935735E-01  3.4630167E-01  3.5323143E-01  3.6014718E-01  3.6704847E-01
   3.7393567E-01  3.8080895E-01  3.8766789E-01  3.9451280E-01  4.0134388E-01
   4.0816092E-01  4.1496378E-01  4.2175302E-01  4.2852840E-01  4.3529001E-01
   4.4203794E-01  4.4877234E-01  4.5549309E-01  4.6220040E-01  4.6889457E-01
   4.7557569E-01  4.8224354E-01  4.8889863E-01  4.9554092E-01  5.0217080E-01
   5.0878847E-01  5.1539397E-01  5.2198762E-01  5.2856952E-01  5.3514063E-01
   5.4170084E-01  5.4825050E-01  5.5479056E-01  5.6132144E-01  5.6784356E-01
   5.7435811E-01  5.8086574E-01  5.8736736E-01  5.9386444E-01  6.0035849E-01
   6.0685140E-01  6.1334538E-01  6.1984336E-01  6.2635386E-01  6.3287425E-01
   6.3941234E-01  6.4597583E-01  6.5257496E-01  6.5922379E-01  6.6594213E-01
   6.7275941E-01  6.7972124E-01  6.8690431E-01  6.9444895E-01  7.0265919E-01
   7.1240336E-01  7.4812013E-01  7.5718135E-01  7.6527822E-01  7.7264017E-01
   7.7957648E-01  7.8624946E-01  7.9274350E-01  7.9910713E-01  8.0537075E-01
   8.1155449E-01  8.1767291E-01  8.2373577E-01  8.2975101E-01  8.3572417E-01
   8.4168160E-01  8.4758550E-01  8.5345566E-01  8.5929704E-01  8.6511177E-01
   8.7090164E-01  8.7666792E-01  8.8241166E-01  8.8813406E-01  8.9383537E-01
   8.9951682E-01  9.0517873E-01  9.1082180E-01  9.1644645E-01  9.2205310E-01
   9.2764199E-01  9.3321371E-01  9.3876827E-01  9.4430602E-01  9.4982713E-01
   9.5533228E-01  9.6082109E-01  9.6629429E-01  9.7175163E-01  9.7719347E-01
   9.8261976E-01  9.8803091E-01  9.9342686E-01  9.9880785E-01  1.0041739E+00
   1.0095254E+00  1.0148617E+00  1.0201840E+00  1.0254916E+00  1.0307852E+00
   1.0360640E+00  1.0413287E+00  1.0465792E+00  1.0518159E+00  1.0570384E+00
   1.0622475E+00  1.0674422E+00  1.0726231E+00  1.0777909E+00  1.0829444E+00
   1.0880849E+00  1.0932117E+00  1.0983251E+00  1.1034251E+00  1.1085119E+00
   1.1135854E+00  1.1186457E+00  1.1236928E+00  1.1287267E+00  1.1337477E+00
   1.1387559E+00  1.1437510E+00  1.1487331E+00  1.1537029E+00  1.1586597E+00
   1.1636037E+00  1.1685351E+00  1.1734538E+00  1.1783601E+00  1.1832540E+00
   1.1881353E+00  1.1930041E+00  1.1978605E+00  1.2027050E+00  1.2075368E+00
   1.2123570E+00  1.2171640E+00  1.2175796E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  2.1402502E+19  2.1404472E+19  1.8728624E+19  2.1402570E+19
   1.8727133E+19  5.7845246E+18  3.4705128E+18  3.0441840E+18  1.2643558E+22
   2.0659718E+22  1.8216159E+22  1.0413569E+23  1.2780650E+23  1.4526374E+23
   1.6005076E+23  1.7317420E+23  1.8513192E+23  1.9615461E+23  2.0631655E+23
   2.1560421E+23  2.2396540E+23  2.3131967E+23  2.3757092E+23  2.4262419E+23
   2.4637767E+23  2.4872903E+23  2.4958378E+23  2.4884560E+23  2.4642604E+23
   2.4224900E+23  2.3623971E+23  2.2833983E+23  2.1850734E+23  2.0671760E+23
   1.9296757E+23  1.7728674E+23  1.5974203E+23  1.4044937E+23  1.1958945E+23
   9.7432910E+22  7.4369003E+22  5.0945363E+22  3.3900117E+22  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  8.9999981E-04  8.9999964E-04  8.9999946E-04  8.9999929E-04
   8.9999911E-04  8.9999894E-04  8.9999876E-04  8.9999859E-04  8.9933525E-04
   8.9825137E-04  8.9729531E-04  8.9180114E-04  8.8497711E-04  8.7710662E-04
   8.6828548E-04  8.5855345E-04  8.4792066E-04  8.3637878E-04  8.2390959E-04
   8.1048923E-04  7.9608982E-04  7.8068051E-04  7.6422776E-04  7.4669585E-04
   7.2804536E-04  7.0823473E-04  6.8721804E-04  6.6494476E-04  6.4136006E-04
   6.1640219E-04  5.8999972E-04  5.6207489E-04  5.3253380E-04  5.0126732E-04
   4.6814495E-04  4.3300440E-04  3.9564187E-04  3.5578373E-04  3.1305026E-04
   2.6687060E-04  2.1626694E-04  1.5922188E-04  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  2.0000000E-01  2.0000000E-01  2.0000000E-01  2.0000000E-01
   2.0000000E-01  2.0000000E-01  2.0000000E-01  2.0000000E-01  2.3692062E-01
   2.9128981E-01  3.3424667E-01  3.6688620E-01  4.0964210E-01  4.4465676E-01
   4.7510871E-01  5.0300342E-01  5.2947938E-01  5.5514973E-01  5.8033508E-01
   6.0520124E-01  6.2983304E-01  6.5427327E-01  6.7854387E-01  7.0265502E-01
   7.2661161E-01  7.5041598E-01  7.7406859E-01  7.9756922E-01  8.2091755E-01
   8.4411240E-01  8.6715293E-01  8.9003849E-01  9.1276771E-01  9.3533951E-01
   9.5775288E-01  9.8000681E-01  1.0021001E+00  1.0240315E+00  1.0457997E+00
   1.0674038E+00  1.0888423E+00  1.1101137E+00  1.1312174E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
