              11            188
 t              rho            R              Z              s              
 src            rpel1          Te0            Te1            ne0            
 ne1            dummy          dummy          dummy          dummy          
 s              -              m              m              m              
 /s             m              keV            keV            /m**3          
 /m**3          -              -              -              -              
Time at entry to cell                                                                          
Normalized minor radius at entry to cell                                                       
Major radius at entry to cell                                                                  
Elevation at entry to cell                                                                     
Distance at entry to cell                                                                      
Pellet source rate in cell                                                                     
Pellet radius at exit from cell                                                                
Electron temperature at entry to cell                                                          
Electron temperature at exit from cell                                                         
Electron density at entry to cell                                                              
Electron density at exit from cell                                                             
   5.4282200E-04  5.5497274E-04  5.6712230E-04  5.7927211E-04  5.9142278E-04
   6.0357351E-04  6.4853061E-04  7.2346348E-04  7.9821213E-04  8.7281305E-04
   9.4727008E-04  1.0215843E-03  1.0957543E-03  1.1697853E-03  1.2436705E-03
   1.3174122E-03  1.3910137E-03  1.4644699E-03  1.5377827E-03  1.6109534E-03
   1.6839814E-03  1.7568661E-03  1.8296071E-03  1.9022049E-03  1.9746579E-03
   2.0469683E-03  2.1191346E-03  2.1911571E-03  2.2630373E-03  2.3347733E-03
   2.4063641E-03  2.4778142E-03  2.5491179E-03  2.6202786E-03  2.6912962E-03
   2.7621691E-03  2.8328989E-03  2.9034829E-03  2.9739251E-03  3.0442257E-03
   3.1143804E-03  3.1843926E-03  3.2542630E-03  3.4135627E-03  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   1.0993848E+00  1.0100000E+00  1.0080001E+00  1.0060000E+00  1.0039999E+00
   1.0020001E+00  1.0000000E+00  9.9395454E-01  9.8386359E-01  9.7377270E-01
   9.6368182E-01  9.5359087E-01  9.4349998E-01  9.3340909E-01  9.2331815E-01
   9.1322726E-01  9.0313637E-01  8.9304543E-01  8.8295454E-01  8.7286365E-01
   8.6277270E-01  8.5268182E-01  8.4259093E-01  8.3249998E-01  8.2240903E-01
   8.1231821E-01  8.0222726E-01  7.9213631E-01  7.8204548E-01  7.7195454E-01
   7.6186359E-01  7.5177276E-01  7.4168181E-01  7.3159087E-01  7.2150004E-01
